chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
['příjemná'],['lupeny'],['jedlá'],Bedla červenající ,['hnědá'],['šupinkatý'],"['kulovitý, plochý, s\xa0hrbolkem, zvoncovitý, klenutý']",['dřevnatá'],(Macrolepiota rhacodes),['nemá'],['má'],"['bílá, okrová']",['hladký'],"['válcovitý, hlízovitý']",['příjemná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, zahrady']"
['-'],['rourky'],['nejedlá'],Anýzovník vonný ,"['hnědá, žlutá']","['hrbolkatý, jamkatý, plstnatý']","['polokulovitý, excentrický']",['dřevnatá'],(Gloeophyllum odoratum),['-'],['-'],['-'],['-'],['-'],"['anýzová, aromatická']","['leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les']"
['příjemná'],['lupeny'],['jedlá'],Bedla vysoká ,['hnědá'],['šupinkatý'],"['kulovitý, plochý, zvoncovitý']",['dřevnatá'],(Macrolepiota procera),['nemá'],['má'],['hnědá'],['-'],"['válcovitý, hlízovitý']","['příjemná, houbová']","['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, pastviny, parky, křoviny, paseky']"
"['příjemná, kořenitá, sladká']",['jiné'],['jedlá'],Bělolanýž obecný ,['-'],['-'],['-'],['tvrdá'],(Choiromyces meandriformis),['-'],['-'],['-'],['-'],['-'],"['kořenitá, aromatická']","['červenec, srpen, září']","['jehličnatý les, listnatý les, smíšený les']"
['hořká'],['rourky'],['nejedlá'],Březovník obecný ,"['bílá, okrová']",['hladký'],['polokulovitý'],['měkká'],(Piptoporus betulinus),['-'],['-'],['-'],['-'],['-'],['-'],"['květen, červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky']"
"['hořká, kyselá']",['lupeny'],['nejedlá'],Čechratka černohuňatá ,['hnědá'],['sametový'],"['plochý, vmáčklý, klenutý']",['tvrdá'],(Paxillus atrotomentosus),['nemá'],['nemá'],['hnědá'],['matný'],['válcovitý'],['nepříjemná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, mýtiny']"
"['nevýrazná, kyselá']",['lupeny'],['smrtelně jedovatá'],Čechratka podvinutá ,"['hnědá, olivová, okrová']",['sametový'],"['plochý, vmáčklý, klenutý']",['tvrdá'],(Paxillus involutus),['nemá'],['nemá'],"['žlutá, okrová']",['hladký'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, sady, zahrady, jiné']"
['okurková'],['lupeny'],['smrtelně jedovatá'],Čepičatka jehličnanová ,"['hnědá, žlutá, okrová']","['hladký, se zbytky plachetky (vločkatý)']","['plochý, klenutý']",['pružná'],(Galerina marginata),['nemá'],['má'],"['hnědá, žlutá, okrová']",['vláknitý'],['válcovitý'],['-'],"['srpen, září, říjen']","['jehličnatý les, smíšený les']"
['příjemná'],['lupeny'],['jedlá'],Čirůvka májovka ,"['bílá, okrová']","['hladký, lysý']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Calocybe gambosa),['nemá'],['nemá'],['bílá'],['hladký'],['válcovitý'],['příjemná'],"['duben, květen, červen']","['listnatý les, louky, pastviny, parky, sady, zahrady, stráně, paseky']"
"['příjemná, sladká']",['lupeny'],['jedlá'],Čirůvka fialová ,['fialová'],"['hladký, lysý']","['plochý, klenutý']",['tvrdá'],(Lepista nuda),['nemá'],['nemá'],['fialová'],"['hladký, vláknitý']",['válcovitý'],['houbová'],"['září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, louky, parky, sady, zahrady']"
['hořká'],['lupeny'],['nejedlá'],Čirůvka kravská ,"['hnědá, červená']",['šupinkatý'],"['plochý, kuželovitý, s\xa0hrbolkem']",['dutá'],(Tricholoma vaccinum),['nemá'],['nemá'],"['hnědá, červená']",['vláknitý'],['válcovitý'],['zemitá'],"['červenec, srpen, září, říjen']",['jehličnatý les']
"['sladká, oříšková']",['lupeny'],['jedlá'],Čirůvka havelka ,['šedá'],['hladký'],"['plochý, zvoncovitý, klenutý']",['tvrdá'],(Tricholoma portentosum),['nemá'],['nemá'],['bílá'],"['hladký, lesklý']",['válcovitý'],['příjemná'],"['září, říjen, listopad, prosinec']",['jehličnatý les']
"['nevýrazná, hořká']",['lupeny'],['mírně jedovatá'],Čirůvka mýdlová ,"['hnědá, zelená, šedá, olivová']",['hladký'],['klenutý'],['tvrdá'],(Tricholoma Saponaceum),['nemá'],['nemá'],['bílá'],['vláknitý'],['válcovitý'],"['aromatická, mýdlová']","['červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les']"
"['hořká, okurková']",['lupeny'],['mírně jedovatá'],Čirůvka odlišná ,"['žlutá, zelená']","['hladký, vláknitý']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Tricholoma sejunctum),['nemá'],['nemá'],['bílá'],"['hladký, vláknitý']",['válcovitý'],['-'],"['srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['hořká'],['lupeny'],['nejedlá'],Čirůvka prstenitá ,"['hnědá, červená']","['lysý, vláknitý']",['klenutý'],['tvrdá'],(Tricholoma batschii),['nemá'],['má'],"['hnědá, oranžová']",['vláknitý'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, kosodřevina']"
['nevýrazná'],['lupeny'],['jedlá'],Čirůvka špinavá ,"['růžová, fialová']","['hladký, lysý']","['plochý, nálevkovitý, klenutý']",['tvrdá'],(Lepista sordida),['nemá'],['nemá'],"['růžová, fialová']",['vláknitý'],"['válcovitý, kyjovitý']",['aromatická'],"['duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['louky, pastviny, parky, sady, zahrady, křoviny, paseky']"
['okurková'],['lupeny'],['jedlá'],Čirůvka topolová ,"['hnědá, šedá']",['hladký'],"['plochý, klenutý']",['tvrdá'],(Tricholoma populinum),['nemá'],['nemá'],['bílá'],"['hladký, ojíněný']",['válcovitý'],['-'],"['srpen, září, říjen']","['listnatý les, smíšený les, parky, sady, jiné']"
['nevýrazná'],['lupeny'],['jedlá'],Čirůvka zemní ,"['hnědá, šedá']",['šupinkatý'],"['plochý, s\xa0hrbolkem, zvoncovitý']",['křehká'],(Tricholoma terreum),['nemá'],['nemá'],"['bílá, šedá']","['vláknitý, zrnitý']",['válcovitý'],['-'],"['září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les, parky, zahrady, jiné']"
['sladká'],['lupeny'],['jedlá'],Čirůvka zelánka ,"['žlutá, zelená, olivová']",['hladký'],"['polokulovitý, plochý, klenutý']",['tvrdá'],(Tricholoma equestre),['nemá'],['nemá'],"['žlutá, zelená']","['hladký, vláknitý']",['válcovitý'],['-'],"['září, říjen, listopad, prosinec']","['jehličnatý les, listnatý les']"
['nevýrazná'],['jiné'],['jedlá'],Destice chřapáčová ,"['hnědá, okrová']","['hrbolkatý, vrásčitý']",['-'],['křehká'],(Discina ancilis),['-'],['-'],['-'],['-'],['-'],['nevýrazná'],"['duben, květen']","['jehličnatý les, smíšený les']"
['nepříjemná'],['-'],['v mládí jedlá'],Hadovka smrdutá ,"['zelená, olivová']",['slizký'],['zvoncovitý'],['dutá'],(Phallus impudicus),['má'],['nemá'],['bílá'],['hladký'],"['válcovitý, nahoru ztenčující']","['nepříjemná, ředkvičková']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, parky, křoviny, jiné']"
"['příjemná, nevýrazná, sladká']",['lupeny'],['jedlá'],Hlíva dubová ,"['bílá, šedá']",['lysý'],"['plochý, excentrický, klenutý']",['tvrdá'],(Pleurotus dryinus),['nemá'],['má'],['bílá'],['hladký'],['válcovitý'],['nevýrazná'],"['srpen, září, říjen, listopad, prosinec']","['listnatý les, smíšený les, parky, sady, zahrady, mýtiny']"
"['příjemná, nevýrazná, sladká']",['lupeny'],['jedlá'],Hlíva ústřičná ,"['hnědá, šedá, fialová']","['hladký, lysý']",['excentrický'],['tvrdá'],(Pleurotus ostreatus),['nemá'],['nemá'],['bílá'],['chlupatý'],['válcovitý'],"['houbová, kořenitá']","['leden, únor, březen, říjen, listopad, prosinec']","['listnatý les, smíšený les, parky, zahrady, mýtiny, jiné']"
"['nevýrazná, ovocná']",['lupeny'],['jedlá'],Hlíva citronová ,['žlutá'],['hladký'],['nálevkovitý'],['pružná'],(Pleurotus citrinopileatus),['nemá'],['nemá'],"['žlutá, bílá']",['hladký'],['válcovitý'],"['příjemná, houbová, ovocná']","['červen, červenec, srpen, září, říjen, listopad']","['listnatý les, smíšený les, parky, sady, zahrady']"
['příjemná'],['lupeny'],['jedlá'],Hnojník inkoustový ,"['hnědá, bílá, šedá']",['lysý'],"['válcovitý, zvoncovitý']",['měkká'],(Coprinopsis atramentaria),['nemá'],['nemá'],['bílá'],"['hladký, lesklý']",['válcovitý'],['příjemná'],"['květen, červen, červenec, srpen, září, říjen, listopad']","['louky, pole, pastviny, parky, sady, zahrady, paseky, jiné']"
['příjemná'],['lupeny'],['jedlá'],Hnojník obecný ,['bílá'],['šupinkatý'],"['válcovitý, zvoncovitý']",['křehká'],(Coprinus comatus),['nemá'],['má'],['bílá'],"['hladký, lesklý']",['válcovitý'],['příjemná'],"['duben, květen, červen, červenec, srpen, září, říjen, listopad']","['louky, pole, pastviny, parky, sady, zahrady, paseky']"
['nevýrazná'],['lupeny'],['nejedlá'],Hnojník zaječí ,"['hnědá, bílá, šedá']",['vláknitý'],"['válcovitý, plochý, klenutý']",['křehká'],(Coprinopsis lagopus),['nemá'],['nemá'],['bílá'],['vláknitý'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky, sady, křoviny, jiné']"
['nevýrazná'],['lupeny'],['jedlá'],Hnojník třpytivý ,"['hnědá, okrová']",['-'],"['vejčitý, zvoncovitý']",['křehká'],(Coprinellus micaceus),['nemá'],['nemá'],['bílá'],['lesklý'],['válcovitý'],['nevýrazná'],"['květen, červen, červenec, srpen, září, říjen, listopad']","['parky, sady, zahrady, stráně, mýtiny, jiné']"
"['pálivá, trpká']",['lupeny'],['jedlá'],Holubinka chromová ,"['žlutá, oranžová']",['lysý'],"['polokulovitý, plochý, vmáčklý, klenutý']",['křehká'],(Russula claroflava),['nemá'],['nemá'],"['bílá, šedá']",['-'],['válcovitý'],['příjemná'],"['červenec, srpen, září, říjen']","['listnatý les, smíšený les']"
"['příjemná, oříšková']",['lupeny'],['jedlá'],Holubinka doupňáková ,"['šedá, modrá']",['hladký'],"['plochý, nálevkovitý, vmáčklý, klenutý']",['křehká'],(Russula grisea),['nemá'],['nemá'],"['bílá, růžová']",['-'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les']"
"['příjemná, sladká']",['lupeny'],['jedlá'],Holubinka namodralá ,"['zelená, modrá, fialová, olivová']","['hladký, vrásčitý']","['polokulovitý, kulovitý, plochý, vmáčklý']",['křehká'],(Russula cyanoxantha),['nemá'],['nemá'],"['bílá, růžová, fialová']","['hladký, vláknitý']",['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['nevýrazná, pálivá']",['lupeny'],['jedlá'],Holubinka jahodová ,['červená'],['hladký'],"['polokulovitý, plochý, vmáčklý, klenutý']",['křehká'],(Russula paludosa),['nemá'],['nemá'],['bílá'],['hladký'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září']","['jehličnatý les, rašeliniště, jiné']"
"['příjemná, oříšková']",['lupeny'],['jedlá'],Holubinka nazelenalá ,['zelená'],['sametový'],"['kulovitý, plochý, vmáčklý, klenutý']",['křehká'],(Russula virescens),['nemá'],['nemá'],['bílá'],['hladký'],['válcovitý'],"['příjemná, ovocná']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['pálivá'],['lupeny'],['nejedlá'],Holubinka smrdutá ,"['hnědá, žlutá']",['slizký'],"['kulovitý, plochý, vmáčklý, vypouklý']",['křehká'],(Russula foetens),['nemá'],['nemá'],['bílá'],['hladký'],['válcovitý'],['nepříjemná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['nepříjemná, pálivá']",['lupeny'],['mírně jedovatá'],Holubinka vrhavka ,['červená'],['lysý'],"['polokulovitý, plochý, vmáčklý, klenutý']",['křehká'],(Russula emetica),['nemá'],['nemá'],['bílá'],"['hladký, vláknitý']",['válcovitý'],['ovocná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, rašeliniště']"
['příjemná'],['rourky'],['jedlá'],Hřib borový ,['hnědá'],"['hrbolkatý, sametový, jamkatý']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Boletus pinophilus),['nemá'],['nemá'],"['hnědá, bílá, červená, okrová']",['síťkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['příjemná, houbová']","['květen, červen, červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, rašeliniště, kosodřevina']"
['příjemná'],['rourky'],['jedlá'],Hřib bronzový ,['hnědá'],['hrbolkatý'],"['polokulovitý, klenutý']",['tvrdá'],(Boletus aereus),['-'],['nemá'],"['hnědá, okrová']",['síťkovaný'],['soudkovitý'],"['příjemná, houbová']","['květen, červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les']"
['příjemná'],['rourky'],['jedlá'],Hřib hnědý ,['hnědá'],['hladký'],"['polokulovitý, plochý']",['tvrdá'],(Xerocomus badius),['nemá'],['nemá'],"['hnědá, žlutá, okrová']",['vláknitý'],"['válcovitý, dolů ztenčující, kyjovitý, soudkovitý']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les']"
"['kyselá, trpká']",['rourky'],['jedlá'],Hřib dutonohý ,"['hnědá, žlutá']","['šupinkatý, plstnatý']","['kuželovitý, s\xa0hrbolkem']",['dutá'],(Boletus cavipes),['nemá'],['má'],"['hnědá, žlutá']",['-'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
['příjemná'],['rourky'],['jedlá'],Hřib dubový ,"['hnědá, šedá']",['hladký'],"['polokulovitý, plochý, klenutý']",['tvrdá'],(Boletus aestivalis),['nemá'],['nemá'],['hnědá'],['síťkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['příjemná, houbová']","['květen, červen, červenec, srpen, září, říjen, listopad']","['listnatý les, smíšený les, parky']"
"['příjemná, nevýrazná']",['rourky'],['jedlá'],Hřib koloděj ,"['hnědá, žlutá, olivová']",['plstnatý'],"['polokulovitý, plochý, klenutý, vypouklý']",['tvrdá'],(Boletus luridus),['nemá'],['nemá'],"['hnědá, žlutá, červená']",['síťkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['houbová, nevýrazná']","['květen, červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky']"
['nevýrazná'],['rourky'],['jedlá'],Hřib nachovýtrusý ,"['hnědá, šedá']","['hladký, sametový']","['polokulovitý, plochý, klenutý']",['měkká'],(Porphyrellus pseudoscaber),['nemá'],['nemá'],"['hnědá, šedá']",['hladký'],"['válcovitý, kyjovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
"['příjemná, nevýrazná']",['rourky'],['jedlá'],Hřib kovář ,['hnědá'],['sametový'],"['polokulovitý, plochý, klenutý, vypouklý']",['tvrdá'],(Boletus erythropus),['nemá'],['nemá'],"['žlutá, červená, olivová']",['tečkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['příjemná, houbová, nevýrazná']","['květen, červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les']"
['pálivá'],['rourky'],['jedlá'],Hřib peprný ,"['hnědá, žlutá, okrová']",['slizký'],"['polokulovitý, plochý']",['tvrdá'],(Boletus piperatus),['nemá'],['nemá'],"['hnědá, žlutá, okrová']","['hladký, lysý']","['válcovitý, dolů ztenčující']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, mýtiny']"
['příjemná'],['rourky'],['jedlá'],Hřib plstnatý ,"['hnědá, žlutá, olivová, okrová']","['sametový, plstnatý']","['polokulovitý, plochý']",['tvrdá'],(Boletus subtomentosus),['-'],['nemá'],"['hnědá, žlutá']",['vláknitý'],"['válcovitý, dolů ztenčující']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['příjemná'],['rourky'],['jedlá'],Hřib smrkový ,"['hnědá, bílá, okrová']",['hladký'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Boletus edulis),['nemá'],['nemá'],"['bílá, okrová']",['síťkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les']"
"['příjemná, oříšková']",['rourky'],['jedovatá'],Hřib satan ,"['bílá, šedá']",['hrbolkatý'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Boletus satanas),['nemá'],['nemá'],"['hnědá, červená, okrová']",['síťkovaný'],['soudkovitý'],"['nepříjemná, kořenitá']","['červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky']"
['nevýrazná'],['rourky'],['jedlá'],Hřib siný ,"['žlutá, okrová']",['plstnatý'],['klenutý'],['tvrdá'],(Gyroporus cyanescens),['nemá'],['nemá'],"['žlutá, okrová']",['plstnatý'],"['válcovitý, soudkovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['příjemná, ovocná']",['rourky'],['jedlá'],Hřib strakoš ,"['žlutá, olivová']",['šupinkatý'],"['polokulovitý, plochý']",['tvrdá'],(Boletus variegatus),['nemá'],['nemá'],"['hnědá, žlutá']","['hladký, plstnatý, zrnitý']","['válcovitý, kyjovitý']","['houbová, ovocná']","['červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, kosodřevina']"
['nevýrazná'],['-'],['jedlá'],Jidášovo ucho ,['-'],['-'],['-'],['-'],(Hirneola auricula judae),['-'],['-'],['-'],['-'],['-'],['nevýrazná'],"['leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['listnatý les, smíšený les, parky, sady, zahrady, křoviny, jiné']"
['hořká'],['rourky'],['nejedlá'],Hřib žlučník ,"['hnědá, šedá, okrová']",['plstnatý'],['polokulovitý'],['tvrdá'],(Tylopilus felleus),['nemá'],['nemá'],"['hnědá, žlutá, bílá, okrová']",['síťkovaný'],"['válcovitý, kyjovitý, soudkovitý']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, jiné']"
"['příjemná, kyselá']",['rourky'],['jedlá'],Hřib žlutomasý ,"['hnědá, šedá']",['plstnatý'],"['polokulovitý, plochý']",['křehká'],(Xerocomus chrysenteron),['nemá'],['nemá'],"['žlutá, červená, růžová']",['vláknitý'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, louky, parky, sady, zahrady, křoviny, stráně, mýtiny, jiné']"
['nevýrazná'],['jiné'],['jedlá'],Kačenka česká ,"['hnědá, žlutá, olivová']",['-'],['zvoncovitý'],['dutá'],(Ptychoverpa bohemica),['nemá'],['nemá'],"['bílá, okrová']",['-'],['válcovitý'],['nevýrazná'],"['březen, duben, květen']","['listnatý les, parky, sady, zahrady, křoviny']"
['nevýrazná'],['rourky'],['jedlá'],Klouzek kravský ,"['hnědá, žlutá, oranžová, okrová']",['slizký'],"['prohloubený, plochý, klenutý']",['měkká'],(Boletus bovinus),['nemá'],['nemá'],"['hnědá, žlutá, oranžová, okrová']",['hladký'],['válcovitý'],['ovocná'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, parky, rašeliniště, kosodřevina']"
"['příjemná, ovocná']",['rourky'],['jedlá'],Klouzek obecný ,"['hnědá, žlutá']",['slizký'],"['polokulovitý, klenutý']",['měkká'],(Suillus luteus),['nemá'],['má'],"['hnědá, žlutá']",['zrnitý'],['válcovitý'],"['příjemná, ovocná']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, parky, zahrady, mýtiny, rašeliniště, kosodřevina']"
['příjemná'],['rourky'],['jedlá'],Klouzek sličný ,"['žlutá, oranžová']",['slizký'],"['polokulovitý, plochý, s\xa0hrbolkem']",['měkká'],(Boletus grevillei),['nemá'],['má'],"['žlutá, oranžová']",['hladký'],['válcovitý'],"['příjemná, houbová']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, mýtiny']"
"['příjemná, kyselá, ovocná']",['rourky'],['jedlá'],Klouzek slizký ,"['hnědá, šedá, olivová']",['slizký'],"['plochý, klenutý']",['měkká'],(Boletus aeruginascens),['nemá'],['má'],"['žlutá, šedá']",['síťkovaný'],['válcovitý'],"['příjemná, nevýrazná, ovocná']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, mýtiny']"
"['příjemná, pálivá, sladká, oříšková']",['jiné'],['jedlá'],Kotrč kadeřavý ,"['bílá, okrová']",['-'],['kulovitý'],['křehká'],(Sparassis crispa),['nemá'],['nemá'],"['bílá, okrová']",['hladký'],['-'],"['houbová, kořenitá']","['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
"['příjemná, nevýrazná']",['rourky'],['jedlá'],Klouzek zrnitý ,"['hnědá, žlutá']",['slizký'],"['polokulovitý, plochý']",['měkká'],(Boletus granulatus),['nemá'],['nemá'],['žlutá'],['hladký'],['válcovitý'],"['příjemná, nevýrazná']","['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, smíšený les, kosodřevina']"
"['nevýrazná, kyselá']",['rourky'],['jedlá'],Kozák bílý ,['bílá'],"['hladký, plstnatý']","['polokulovitý, vypouklý']",['tvrdá'],(Leccinum holopus),['nemá'],['nemá'],['bílá'],['zrnitý'],"['válcovitý, kyjovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['listnatý les, smíšený les, stráně, rašeliniště']"
"['příjemná, nevýrazná']",['rourky'],['jedlá'],Kozák březový ,"['hnědá, šedá']",['plstnatý'],"['polokulovitý, klenutý']",['tvrdá'],(Boletus scaber),['nemá'],['nemá'],"['bílá, šedá']",['zrnitý'],"['válcovitý, nahoru ztenčující, kyjovitý']","['příjemná, nevýrazná']","['červenec, srpen, září, říjen, listopad']","['listnatý les, smíšený les, parky']"
['příjemná'],['rourky'],['jedlá'],Křemenáč borový ,"['hnědá, červená']",['sametový'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Leccinum vulpinum),['nemá'],['nemá'],['bílá'],['-'],"['válcovitý, kyjovitý']","['příjemná, nevýrazná']","['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
"['příjemná, nevýrazná']",['rourky'],['jedlá'],Křemenáč březový ,"['žlutá, červená, oranžová']","['sametový, šupinkatý']","['polokulovitý, plochý, vypouklý']",['tvrdá'],(Leccinum versipelle),['nemá'],['nemá'],"['bílá, šedá']",['zrnitý'],"['válcovitý, nahoru ztenčující, kyjovitý, soudkovitý']","['příjemná, houbová, nevýrazná']","['červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky']"
['příjemná'],['rourky'],['jedlá'],Kozák habrový ,"['hnědá, šedá, olivová, okrová']","['hrbolkatý, jamkatý']","['polokulovitý, klenutý']",['tvrdá'],(Boletus carpini),['nemá'],['nemá'],"['hnědá, šedá']",['zrnitý'],"['válcovitý, nahoru ztenčující, kyjovitý']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les']"
['příjemná'],['rourky'],['jedlá'],Křemenáč smrkový ,"['hnědá, červená']",['plstnatý'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Leccinum piceinum),['nemá'],['nemá'],['bílá'],['zrnitý'],['válcovitý'],"['houbová, nevýrazná']","['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
['-'],['jiné'],['nejedlá'],Květnatec Archerův ,['červená'],['-'],['-'],['-'],(Clathrus Archeri),['má'],['nemá'],['bílá'],['hladký'],['válcovitý'],['nepříjemná'],"['květen, červen, červenec, srpen, září, říjen']",['jiné']
['příjemná'],['rourky'],['jedlá'],Křemenáč dubový ,"['hnědá, červená, oranžová']",['sametový'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Leccinum quercinum),['nemá'],['nemá'],['bílá'],['hladký'],"['válcovitý, kyjovitý']","['příjemná, nevýrazná']","['červen, červenec, srpen, září, říjen']",['listnatý les']
['příjemná'],['rourky'],['jedlá'],Křemenáč osikový ,"['červená, oranžová']",['sametový'],"['polokulovitý, plochý, vypouklý']",['tvrdá'],(Leccinum aurantiacum),['nemá'],['nemá'],"['bílá, šedá']",['matný'],"['válcovitý, kyjovitý']","['příjemná, houbová']","['červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, jiné']"
['nevýrazná'],['lupeny'],['jedlá'],Lakovka ametystová ,['fialová'],['hladký'],"['plochý, vmáčklý, zvoncovitý, klenutý']",['pružná'],(Laccaria amethystina),['nemá'],['nemá'],['fialová'],['vláknitý'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Lakovka obecná ,"['hnědá, červená']",['hladký'],"['plochý, vmáčklý, zvoncovitý, klenutý']",['pružná'],(Laccaria laccata),['nemá'],['nemá'],"['hnědá, červená']",['vláknitý'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
